experiment,point,run,seed,method,n,m,d_or_h,k,total_s,ari,nmi,t_kmeans,t_affinity,t_spectral,t_propagate,t_laplacian,t_eigen,t_spectral_kmeans,status,error
n,5000000,1,22189,cpu_8,5000000,250,64,10,179.84627079963684,1.0,1.0,,,,,,,,ok,
n,5000000,1,22189,cpu_16,5000000,250,64,10,100.77837347984314,1.0,1.0,,,,,,,,ok,
n,5000000,1,22189,cpu_36,5000000,250,64,10,66.74447441101074,1.0,1.0,,,,,,,,ok,
n,5000000,2,22190,cpu_4,5000000,250,64,10,344.6659905910492,0.8758107475498947,0.944392811291342,,,,,,,,ok,
n,5000000,2,22190,cpu_8,5000000,250,64,10,179.60166931152344,0.824501191116309,0.9177476478630141,,,,,,,,ok,
n,5000000,2,22190,cpu_16,5000000,250,64,10,100.37494325637817,0.9217470877694599,0.9648366181549352,,,,,,,,ok,
n,5000000,2,22190,cpu_36,5000000,250,64,10,66.79196262359619,0.9497433887133298,0.9681793872305362,,,,,,,,ok,
n,5000000,3,22191,cpu_4,5000000,250,64,10,344.9122385978699,0.8663661443662691,0.9440165390200104,,,,,,,,ok,
n,5000000,3,22191,cpu_8,5000000,250,64,10,179.46407866477966,1.0,1.0,,,,,,,,ok,
n,5000000,3,22191,cpu_16,5000000,250,64,10,100.37859892845154,0.9794337535040161,0.9859257735447652,,,,,,,,ok,
n,5000000,3,22191,cpu_36,5000000,250,64,10,66.706791639328,0.9794433567054637,0.9859306236441346,,,,,,,,ok,
n,5000000,4,22192,cpu_4,5000000,250,64,10,344.89394092559814,0.7196241577599808,0.8716107130479922,,,,,,,,ok,
n,5000000,4,22192,cpu_8,5000000,250,64,10,179.86324214935303,1.0,1.0,,,,,,,,ok,
n,5000000,4,22192,cpu_16,5000000,250,64,10,101.50727438926697,0.856626338727863,0.9343007304478725,,,,,,,,ok,
n,5000000,4,22192,cpu_36,5000000,250,64,10,66.69303560256958,0.880512668832718,0.9584214207346247,,,,,,,,ok,
n,10000000,0,22188,cpu_4,10000000,250,64,10,689.6746261119843,1.0,1.0,,,,,,,,ok,
n,10000000,0,22188,cpu_8,10000000,250,64,10,359.16653656959534,0.9846601242190071,0.988690054570384,,,,,,,,ok,
n,10000000,0,22188,cpu_16,10000000,250,64,10,201.2852339744568,1.0,1.0,,,,,,,,ok,
n,10000000,0,22188,cpu_36,10000000,250,64,10,132.98906755447388,1.0,1.0,,,,,,,,ok,
n,10000000,1,22189,cpu_4,10000000,250,64,10,688.1953785419464,0.985677128388349,0.9892609350778963,,,,,,,,ok,
n,10000000,1,22189,cpu_8,10000000,250,64,10,358.4986798763275,1.0,1.0,,,,,,,,ok,
n,10000000,1,22189,cpu_16,10000000,250,64,10,205.52510976791382,1.0,1.0,,,,,,,,ok,
n,10000000,1,22189,cpu_36,10000000,250,64,10,133.21491527557373,1.0,1.0,,,,,,,,ok,
n,10000000,2,22190,cpu_4,10000000,250,64,10,688.0913591384888,1.0,1.0,,,,,,,,ok,
n,10000000,2,22190,cpu_8,10000000,250,64,10,358.2283253669739,1.0,1.0,,,,,,,,ok,
n,10000000,2,22190,cpu_16,10000000,250,64,10,203.69543075561523,1.0,1.0,,,,,,,,ok,
n,10000000,2,22190,cpu_36,10000000,250,64,10,132.94219756126404,1.0,1.0,,,,,,,,ok,
n,10000000,3,22191,cpu_4,10000000,250,64,10,687.7218959331512,0.7250672138048537,0.874719351287909,,,,,,,,ok,
n,10000000,3,22191,cpu_8,10000000,250,64,10,358.496600151062,0.8252157077048841,0.9200877538834082,,,,,,,,ok,
n,10000000,3,22191,cpu_16,10000000,250,64,10,204.62163400650024,0.7511157763775826,0.8954212733216118,,,,,,,,ok,
n,10000000,3,22191,cpu_36,10000000,250,64,10,133.14514589309692,0.7951342707037128,0.9075177169684073,,,,,,,,ok,
n,10000000,4,22192,cpu_4,10000000,250,64,10,687.4438648223877,0.8843008708415162,0.9601433345187921,,,,,,,,ok,
n,10000000,4,22192,cpu_8,10000000,250,64,10,358.228716135025,1.0,1.0,,,,,,,,ok,
n,10000000,4,22192,cpu_16,10000000,250,64,10,204.28608965873718,1.0,1.0,,,,,,,,ok,
